% Model,BasinA.mph
% Version,COMSOL 6.2.0.339
% Date,"Oct 6 2025, 09:26"
% Dimension,1
% Nodes,106
% Expressions,1
% Description,Point graph
% Time,Concentration
0,1.39E-234
8640,-3.63E-161
17280,8.77E-104
25920,0.00E+00
34560,0.00E+00
43200,0.00E+00
51840,0.00E+00
60480,0.00E+00
69120,0.00E+00
77760,0.00E+00
86400,0.00E+00
95040,0.00E+00
103680,0.00E+00
112320,0.00E+00
120960,0.00E+00
129600,0.00E+00
138240,0.00E+00
146880,0.00E+00
155520,0.00E+00
164160,2.86E-21
172800,8.07E-20
181440,1.59E-18
190080,4.31E-17
198720,6.60E-16
207360,7.55E-15
216000,1.01E-13
224640,9.82E-13
233280,7.59E-12
241920,6.01E-11
250560,4.11E-10
259200,2.36E-09
267840,1.30E-08
276480,6.73E-08
285120,3.04E-07
293760,1.28E-06
302400,5.22E-06
311040,1.92E-05
319680,6.53E-05
328320,2.18E-04
336960,6.73E-04
345600,0.001923511
354240,0.005371156
362880,0.014092836
371520,0.034749735
380160,0.082636781
388800,0.187529196
397440,0.403654753
406080,0.834118063
414720,1.657292982
423360,3.145357837
432000,5.730947326
440640,10.07339296
449280,17.00246408
457920,27.62461441
466560,43.95482855
475200,66.77471974
483840,97.17721356
492480,136.6449852
501120,185.4850279
509760,243.833631
518400,311.2469212
527040,385.7672405
535680,465.7234605
544320,548.6169317
552960,631.0138318
561600,709.4724607
570240,782.0235971
578880,846.0460723
587520,899.6001016
596160,942.4289791
604800,974.5068525
613440,996.4818245
622080,1010.21139
630720,1018.142212
639360,1022.109629
648000,1021.453599
656640,1019.946181
665280,1016.153112
673920,1011.501217
682560,1007.835958
691200,1004.004635
699840,1001.47283
708480,999.6177067
717120,998.41619
725760,997.849845
734400,997.9008417
743040,998.0255972
751680,998.4634685
760320,998.9553315
768960,999.3675178
777600,999.7950003
786240,1000.07657
794880,1000.285977
803520,1000.42322
812160,1000.488301
820800,1000.500384
829440,1000.537961
838080,1000.540227
846720,1000.507182
855360,1000.438827
864000,1000.357016
872640,1000.31971
881280,1000.278521
889920,1000.233452
898560,1000.1845
907200,1000.140403
